0		0	0
3	1	0	0	7.70	-88.45	71.30	-50.0
0	1	0	0	0	0	0	0
3	1	0	0	71.30	-50.0	79.88	-38.0
0	1	0	0	0	0	0	0
3	1	0	0	79.88	-38.0	79.88	37.6
0	1	0	0	0	0	0	0
3	1	0	0	79.88	37.6	71.3	50.0
0	1	0	0	0	0	0	0
3	1	0	0	71.30	50.0	7.70	88.45
0	1	0	0	0	0	0	0
3	1	0	0	7.70	88.45	-7.70	88.45
0	1	0	0	0	0	0	0
3	1	0	0	-7.70	88.45	-71.3	50.0
0	1	0	0	0	0	0	0
3	1	0	0	-71.3	50.0	-79.88	37.6
0	1	0	0	0	0	0	0
3	1	0	0	-79.88	37.6	-79.88	-38.0
0	1	0	0	0	0	0	0
3	1	0	0	-79.88	-38.0	-71.3	-50.0
0	1	0	0	0	0	0	0
3	1	0	0	-71.3	-50.0	-7.70	-88.45
0	1	0	0	0	0	0	0
3	1	0	0	-7.70	-88.45	7.20	-88.45
0	1	0	0	0	0	0	0
3	1	0	0	0	-77.7	0	-12.7
0	1	0	0	0	0	0	0
3	1	0	0	11.0	-6.35	67.3	-38.85
0	1	0	0	0	0	0	0
3	1	0	0	67.3	38.85	11.0	6.35
0	1	0	0	0	0	0	0
3	1	0	0	0	12.7	0	77.7
0	1	0	0	0	0	0	0
3	1	0	0	-67.3	38.85	-11.0	6.35
0	1	0	0	0	0	0	0
3	1	0	0	-11.0	-6.35	-67.3	-38.85
0	1	0	0	0	0	0	0
